"","feature","comparison","anova.Sum.Sq","anova.Mean.Sq","anova.NumDF","anova.DenDF","anova.F.value","anova.Pr..F."
"zDFDiff","DF","Diff",0.00130437650793559,0.00130437650793559,1,61.1023255988342,0.103889297104088,0.748311576720443
"quality","DF","Animals",0.217488082787123,0.217488082787123,1,66.0000152087346,3.46809011713932,0.0670157220174365
"quality1","DF","Humans",0.0137343231794035,0.0137343231794035,1,66.0001066782531,0.208733911794887,0.649261741969789
"zDurDiff","Duration","Diff",0.00452614963519336,0.00452614963519336,1,64.4530083021783,0.374346018075982,0.542797103411123
"quality2","Duration","Animals",1.13688558344014,1.13688558344014,1,69.0005983573682,5.36638249982627,0.0235042125083693
"quality3","Duration","Humans",0.1803823626274,0.1803823626274,1,68.9999705095715,0.799151105758347,0.374454885327281
"zPitchDiff","Pitch","Diff",0.103760090784124,0.103760090784124,1,59.2505434084633,12.179808935635,0.000918450689922095
"quality4","Pitch","Animals",0.0188062951733817,0.0188062951733817,1,63.9999454665467,0.0808812698798769,0.777024839778528
"quality5","Pitch","Humans",2.25504966100716,2.25504966100716,1,63.9999611821377,11.413582384375,0.00124518391101588
"zAMvarDiff","AMvar","Diff",0.00458674532129288,0.00458674532129288,1,66.0943669698723,0.383624824724522,0.53779890533222
"quality6","AMvar","Animals",0.0228974994930755,0.0228974994930755,1,127.811422809261,0.189381178595372,0.664166121587201
"quality7","AMvar","Humans",0.0172724137207965,0.0172724137207965,1,127.811354747674,0.142805104690416,0.706134982247196
"zCentDiff","Cent","Diff",0.0329301548483876,0.0329301548483876,1,60.8876096740694,2.79243915788986,0.0998427131169982
"quality8","Cent","Animals",0.143666031360778,0.143666031360778,1,61.9986272405895,6.14665813989721,0.0158989725762803
"quality9","Cent","Humans",0.0631270724242343,0.0631270724242343,1,61.9982218228208,2.55863321534998,0.114777536703482
"zSkewDiff","Skew","Diff",0.0165798498866586,0.0165798498866586,1,44.7467712151592,1.40338789527862,0.242411264027806
"quality10","Skew","Animals",0.0372455573666647,0.0372455573666647,1,127.956371226705,1.91654502280216,0.168647597895395
"quality11","Skew","Humans",0.0248878051659067,0.0248878051659067,1,127.956151546176,1.27431914745775,0.261069949673504
"zSpreadDiff","Spread","Diff",0.0144963743844992,0.0144963743844992,1,29.1842094439024,1.17333781007505,0.287585057574226
"quality12","Spread","Animals",0.294893112401629,0.294893112401629,1,68.9999736821209,2.73701596056281,0.102590111442726
"quality13","Spread","Humans",0.408602849736075,0.408602849736075,1,68.9999766476585,3.85130855748495,0.0537408614600655
"zEntDiff","Ent","Diff",0.015651721331153,0.015651721331153,1,31.2943640355522,1.31954055617243,0.259379199806102
"quality14","Ent","Animals",0.0223328177163516,0.0223328177163516,1,127.82442627156,0.184579597225771,0.668190131643177
"quality15","Ent","Humans",0.206544821869625,0.206544821869625,1,127.82641697676,1.72765601627392,0.191064131726143
"zRoughDiff","Rough","Diff",0.006585017396474,0.006585017396474,1,65.8266280144312,0.556976964820494,0.458137947187342
"quality16","Rough","Animals",0.000660440931071228,0.000660440931071228,1,124.993242659817,0.133649643646133,0.715295516131173
"quality17","Rough","Humans",0.00426778680226438,0.00426778680226438,1,124.993259554173,0.868720816473442,0.353106525025496
"zAttackDiff","Attack","Diff",0.0147583822091831,0.0147583822091831,1,62.9565635252676,1.18423857668179,0.280643256648878
"quality18","Attack","Animals",0.16204574160923,0.16204574160923,1,63.9999630204718,0.503427277028793,0.480575109564707
"quality19","Attack","Humans",0.074824119508729,0.074824119508729,1,64.0000168520443,0.23147622866056,0.632072227170857
"zRMSDiff","RMS","Diff",0.00218962359266218,0.00218962359266218,1,65.2765398075284,0.180209361277418,0.672589293501193
"quality20","RMS","Animals",0.0222773632337173,0.0222773632337173,1,128.059144455789,0.121906669796711,0.727549134840982
"quality21","RMS","Humans",0.19301451726102,0.19301451726102,1,128.058639099174,1.06398097591534,0.304253150629733
"zBrightDiff","Bright","Diff",0.0109922992862769,0.0109922992862769,1,54.8268512995799,0.91427027143009,0.343181181515202
"quality22","Bright","Animals",0.153852408838362,0.153852408838362,1,127.994983429073,8.2778141894901,0.00470354110187905
"quality23","Bright","Humans",0.0313341977960929,0.0313341977960929,1,127.994763022322,1.60331924410417,0.20773311607466
