"","feature","anova.Chisq","anova.Df","anova.Pr..Chisq."
"expert","animal sounds expert",1.90489439363826,1,0.167531502287347
"gender","gender",3.13472235090549,2,0.208594902079118
"incomeNum","income",1.76814346159777,1,0.183612007261734
"zAge","age",0.662342366852615,1,0.415734215692451
"musicLessons","music lessons",0.426525309520543,1,0.513698869994189
"education_num","education",1.26687640291895,1,0.260353483483499
"MusicExpert","music expert",1.32796545587434,1,0.249167488022427
"musicEnjoy","music enjoyment",0.34372914882761,1,0.557684555116758
"makeNum","time making music",0.689777256525574,1,0.40624015435369
"ListenNum","time listening to music",8.53274419099092,1,0.00348813378472945
"lessonsNum","ability wrt peers",3.11803610034275,1,0.0774300519544479
"listenExpert","listening skill",1.52528010074484,1,0.216822201957173
